idx,img_a,img_b,gt_is_same
0,ID_001_img1.jpg,ID_001_img10.jpg,1
1,ID_001_img1.jpg,ID_001_img11.jpg,1
2,ID_001_img1.jpg,ID_001_img12.jpg,1
3,ID_001_img1.jpg,ID_001_img13.jpg,1
4,ID_001_img1.jpg,ID_001_img14.jpg,1
5,ID_001_img1.jpg,ID_001_img15.jpg,1
6,ID_001_img1.jpg,ID_001_img16.jpg,1
7,ID_001_img1.jpg,ID_001_img2.jpg,1
8,ID_001_img1.jpg,ID_001_img3.jpg,1
9,ID_001_img1.jpg,ID_001_img4.jpg,1
10,ID_001_img1.jpg,ID_001_img5.jpg,1
11,ID_001_img1.jpg,ID_001_img6.jpg,1
12,ID_001_img1.jpg,ID_001_img7.jpg,1
13,ID_001_img1.jpg,ID_001_img8.jpg,1
14,ID_001_img1.jpg,ID_001_img9.jpg,1
15,ID_001_img10.jpg,ID_001_img11.jpg,1
16,ID_001_img10.jpg,ID_001_img12.jpg,1
17,ID_001_img10.jpg,ID_001_img13.jpg,1
18,ID_001_img10.jpg,ID_001_img14.jpg,1
19,ID_001_img10.jpg,ID_001_img15.jpg,1
20,ID_001_img10.jpg,ID_001_img16.jpg,1
21,ID_001_img10.jpg,ID_001_img2.jpg,1
22,ID_001_img10.jpg,ID_001_img3.jpg,1
23,ID_001_img10.jpg,ID_001_img4.jpg,1
24,ID_001_img10.jpg,ID_001_img5.jpg,1
25,ID_001_img10.jpg,ID_001_img6.jpg,1
26,ID_001_img10.jpg,ID_001_img7.jpg,1
27,ID_001_img10.jpg,ID_001_img8.jpg,1
28,ID_001_img10.jpg,ID_001_img9.jpg,1
29,ID_001_img11.jpg,ID_001_img12.jpg,1
30,ID_001_img11.jpg,ID_001_img13.jpg,1
31,ID_001_img11.jpg,ID_001_img14.jpg,1
32,ID_001_img11.jpg,ID_001_img15.jpg,1
33,ID_001_img11.jpg,ID_001_img16.jpg,1
34,ID_001_img11.jpg,ID_001_img2.jpg,1
35,ID_001_img11.jpg,ID_001_img3.jpg,1
36,ID_001_img11.jpg,ID_001_img4.jpg,1
37,ID_001_img11.jpg,ID_001_img5.jpg,1
38,ID_001_img11.jpg,ID_001_img6.jpg,1
39,ID_001_img11.jpg,ID_001_img7.jpg,1
40,ID_001_img11.jpg,ID_001_img8.jpg,1
41,ID_001_img11.jpg,ID_001_img9.jpg,1
42,ID_001_img12.jpg,ID_001_img13.jpg,1
43,ID_001_img12.jpg,ID_001_img14.jpg,1
44,ID_001_img12.jpg,ID_001_img15.jpg,1
45,ID_001_img12.jpg,ID_001_img16.jpg,1
46,ID_001_img12.jpg,ID_001_img2.jpg,1
47,ID_001_img12.jpg,ID_001_img3.jpg,1
48,ID_001_img12.jpg,ID_001_img4.jpg,1
49,ID_001_img12.jpg,ID_001_img5.jpg,1
50,ID_001_img12.jpg,ID_001_img6.jpg,1
51,ID_001_img12.jpg,ID_001_img7.jpg,1
52,ID_001_img12.jpg,ID_001_img8.jpg,1
53,ID_001_img12.jpg,ID_001_img9.jpg,1
54,ID_001_img13.jpg,ID_001_img14.jpg,1
55,ID_001_img13.jpg,ID_001_img15.jpg,1
56,ID_001_img13.jpg,ID_001_img16.jpg,1
57,ID_001_img13.jpg,ID_001_img2.jpg,1
58,ID_001_img13.jpg,ID_001_img3.jpg,1
59,ID_001_img13.jpg,ID_001_img4.jpg,1
60,ID_001_img13.jpg,ID_001_img5.jpg,1
61,ID_001_img13.jpg,ID_001_img6.jpg,1
62,ID_001_img13.jpg,ID_001_img7.jpg,1
63,ID_001_img13.jpg,ID_001_img8.jpg,1
64,ID_001_img13.jpg,ID_001_img9.jpg,1
65,ID_001_img14.jpg,ID_001_img15.jpg,1
66,ID_001_img14.jpg,ID_001_img16.jpg,1
67,ID_001_img14.jpg,ID_001_img2.jpg,1
68,ID_001_img14.jpg,ID_001_img3.jpg,1
69,ID_001_img14.jpg,ID_001_img4.jpg,1
70,ID_001_img14.jpg,ID_001_img5.jpg,1
71,ID_001_img14.jpg,ID_001_img6.jpg,1
72,ID_001_img14.jpg,ID_001_img7.jpg,1
73,ID_001_img14.jpg,ID_001_img8.jpg,1
74,ID_001_img14.jpg,ID_001_img9.jpg,1
75,ID_001_img15.jpg,ID_001_img16.jpg,1
76,ID_001_img15.jpg,ID_001_img2.jpg,1
77,ID_001_img15.jpg,ID_001_img3.jpg,1
78,ID_001_img15.jpg,ID_001_img4.jpg,1
79,ID_001_img15.jpg,ID_001_img5.jpg,1
80,ID_001_img15.jpg,ID_001_img6.jpg,1
81,ID_001_img15.jpg,ID_001_img7.jpg,1
82,ID_001_img15.jpg,ID_001_img8.jpg,1
83,ID_001_img15.jpg,ID_001_img9.jpg,1
84,ID_001_img16.jpg,ID_001_img2.jpg,1
85,ID_001_img16.jpg,ID_001_img3.jpg,1
86,ID_001_img16.jpg,ID_001_img4.jpg,1
87,ID_001_img16.jpg,ID_001_img5.jpg,1
88,ID_001_img16.jpg,ID_001_img6.jpg,1
